Item,Amount,Amount to buy,Unit price,Total price,Unit Min Weight (g),Unit Max Weight (g),Link,Config
PETG,1,0,"0,00 €","0,00 €","360,00","400,00",https://www.amazon.es/-/en/ELEGOO-Filament-30-600mm-Dimensional-Accuracy/dp/B0D4Z7JYVH,blue
PCB,1,1,"5,70 €","5,70 €","40,00","60,00",PCB Prototype & PCB Fabrication Manufacturer - JLCPCB,-
Battery,2,2,"17,50 €","34,99 €","130,00","160,00",https://www.amazon.es/Zeee-Bater%C3%ADa-Veh%C3%ADculos-Cuadric%C3%B3ptero-Helic%C3%B3ptero/dp/B0BYNSH6Q7,-
X Axis linear rail,1,1,"10,68 €","10,68 €","160,00","180,00",https://es.aliexpress.com/item/4000762343261.html,MGN12C 200mm
Z Axis linear rail,1,1,"6,91 €","6,91 €","50,00","60,00",https://es.aliexpress.com/item/4000762343261.html,MGN9C 100mm
Motors,5,5,"30,89 €","154,45 €","175,00","200,00",https://es.aliexpress.com/item/1005008730235398.html,533rpm 12V Single motor
JGA25-371 Motor,1,1,"7,63 €","7,63 €","100,00","110,00",https://es.aliexpress.com/item/1005007546764319.html,60rpm 12V
Front wheels,2,2,"1,59 €","3,18 €","27,00","30,00",https://es.aliexpress.com/item/1005010058308140.html,49295 1pcs
Back wheels,2,2,"1,76 €","3,52 €","5,00","10,00",https://es.aliexpress.com/item/1005005334424631.html,7.5mm 1Pcs MJ310
5x10x4 Bearing,12,20,"0,34 €","6,78 €","2,00","3,00",https://es.aliexpress.com/item/1005007668446060.html,5x10x4mm
17x26x5 Bearing,2,2,"2,93 €","5,85 €","7,00","9,00",https://es.aliexpress.com/item/1005008226294126.html,6803-2RS (17X26X5)
Timing pulleys,2,2,"1,75 €","3,50 €","15,00","30,00",https://es.aliexpress.com/item/1005008678109995.html,8mm 10mm 36T
Timing belt,1,1,"4,40 €","4,40 €","6,00","12,00",https://es.aliexpress.com/item/1005006459125914.html,Belt Width 9mm 300mm-2GT(150 Teeth)
Buzzer,1,0,"0,00 €","0,00 €","2,00","4,00",-,-
RGB LED,1,0,"0,00 €","0,00 €","2,00","4,00",-,-
BMS Resistors,6,0,"0,00 €","0,00 €","0,25","0,50",-,-
Limit switches,2,10,"0,56 €","5,59 €","2,00","2,00",https://es.aliexpress.com/item/1005008823539259.html,Half round head
TB6612FNG Motor drivers,3,3,"2,09 €","6,27 €","1,00","2,00",https://es.aliexpress.com/item/1005006983040834.html,TB6612FNG Weld
ESP32 DevKitC,1,1,"5,38 €","5,38 €","250,00","260,00",https://es.aliexpress.com/item/1005008256121637.html,32D-Type-C-1PCS
PCF8575 GPIO Expander,1,1,"1,66 €","1,66 €","1,00","2,00",https://es.aliexpress.com/item/1005002073772322.html,1PCS
ADS1115 ADC,1,1,"1,56 €","1,56 €","1,00","2,00",https://es.aliexpress.com/item/32311656694.html,ADS1115 Blue
MPU9250 IMU,1,1,"9,35 €","9,35 €","2,00","3,00",https://es.aliexpress.com/item/1005009033822037.html,GY-9250 original
TCS34725 Color sensor,1,1,"2,95 €","2,95 €","2,00","3,00",https://es.aliexpress.com/item/1005009651619906.html,1pcs
XT60 Connectors,2,2,"0,75 €","1,50 €","7,00","8,00",https://es.aliexpress.com/item/1005004628891959.html,2 pairs male female
JST-XH Connectors,9,9,"1,25 €","11,23 €","1,00","2,00",https://es.aliexpress.com/item/1005008638438956.html,-
12V to 6V converter,1,1,"2,94 €","2,94 €","20,00","40,00",https://es.aliexpress.com/item/1005007763337343.html,6V
ESP32-CAM,1,1,"13,29 €","13,29 €","10,00","15,00",https://www.amazon.es/diymore-desarrollo-ESP32-CAM-MB-Bluetooth-inal%C3%A1mbrica/dp/B08X3GRK22,-
Velcro for battery and converter,1,1,"1,83 €","1,83 €","5,00","15,00",https://es.aliexpress.com/item/1005008938790125.html,Black 1M 30mm
Cable for sensors and motors,1,1,"0,00 €","0,00 €","18,00","24,00",https://es.aliexpress.com/item/1005006566120439.html,3m 22 AWG
TOTAL,,,,"311,14 €","2327,5",2755,,
,,,,"$359,93",,,,